date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:08:55	109688/109688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:52:59%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4.jpg	(from https://bimbingankopas.com/)
09:08:55	109688/109688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:16%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4-1.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-4-1.jpg	(from https://bimbingankopas.com/)
09:08:55	1680/1680	---M-Z	200	added ('OK')	application/rss+xml	etag:%2290383844725102dd3422eb47ac8dcad0%22	https://bimbingankopas.com/comments/feed/	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/comments/feed/index.html	(from https://bimbingankopas.com/)
09:08:55	115872/115872	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:31%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/photo_2024-01-07_06-29-44.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/photo_2024-01-07_06-29-44.jpg	(from https://bimbingankopas.com/)
09:08:56	111607/111607	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:53:39%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-2-1.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/testimoni-kopas-2-1.jpg	(from https://bimbingankopas.com/)
09:08:56	16/16	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2002:08:56%20GMT	https://bimbingankopas.com/wp-content/plugins/litespeed-cache/guest.vary.php	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/plugins/litespeed-cache/guest.vary.html	(from https://bimbingankopas.com/)
09:08:56	55426/55426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:16%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-matricgram.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/bg-matricgram.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee)
09:08:57	1934/1934	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:46:45%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-semen.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/bg-semen.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee)
09:08:57	42745/42745	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Apr%202024%2009:47:36%20GMT	https://bimbingankopas.com/wp-content/uploads/2024/01/bg-patternsegitiga.jpg	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/uploads/2024/01/bg-patternsegitiga.jpg	(from https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee)
09:08:57	126/126	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jan%202024%2005:15:24%20GMT	https://bimbingankopas.com/wp-content/themes/landingpress-wp/assets/images/select-arrow.png	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/themes/landingpress-wp/assets/images/select-arrow.png	(from https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee)
09:08:58	483/483	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2008:11:43%20GMT	https://bimbingankopas.com/wp-content/plugins/wp-content-copy-protector/images/warning.png	C:/My%20Web%20Sites/Data%20pak%20Dudi/bimbingankopas.com/wp-content/plugins/wp-content-copy-protector/images/warning.png	(from https://bimbingankopas.com/wp-content/litespeed/css/49002fff3f3f853357f8f72e26d6249c.css?ver=5e9ee)
